Rank,Name,Server,Region,Date,Duration,ReportID,ReportLink,HPS,Haste,Spirit,Intellect,TotalHealers,nDruid,nPaladin,nHPriest,nDPriest,nShaman,RaidDamageTakenPerSecond,VampiricTouch,InnervateCount,Bloodlust,NaturesGrace,Trinket1,Trinket2,LifebloomUptime,LifebloomHPS,LifebloomPercentHPS,RejuvenationHPS,RejuvenationPercentHPS,RegrowthHPS,RegrowthPercentHPS,Rotation1,Rotation1Percent,Rotation2,Rotation2Percent,TankRotationPercent,RotatingOnTank
1,阿基蕾拉,碧空之歌,CN,2022-08-16 09:30:31,8m 30s,GgwYf1L63jqhFDnp,https://classic.warcraftlogs.com/reports/GgwYf1L63jqhFDnp?fight=15&source=492&type=healing,0,0,0,0,7,1,1,1,1,3,9764.28,No,0,No,No,,,0,0,0,0,0,0.0,0,,0,,0,0,No
2,氢硫化钠,奥罗,CN,2022-07-18 09:41:53,6m 21s,ZgMwBWX6rc1TzvnV,https://classic.warcraftlogs.com/reports/ZgMwBWX6rc1TzvnV?fight=49&source=21&type=healing,2861.39,488,691,660,6,1,1,0,1,3,9983.81,Yes,2,No,Yes,Redeemer's Alchemist Stone,Shifting Naaru Sliver,26.02,119.42,4.17,141.5,4.95,2402.32,83.96,[0LB 0I 5RG],37.25,[0LB 1I 4RG],21.57,9.8,No
3,我是小熊,辛迪加,CN,2022-07-16 08:39:49,5m 4s,XhNnwv9xBrAGt17K,https://classic.warcraftlogs.com/reports/XhNnwv9xBrAGt17K?fight=32&source=15&type=healing,2639.86,269,875,693,5,1,0,0,1,3,9154.12,Yes,2,No,Yes,Direbrew Hops,Redeemer's Alchemist Stone,86.71,525.39,19.9,37.05,1.4,1655.47,62.71,[0LB 1I 4RG],12.82,[0LB 2I 3RG],10.26,61.54,No
4,阿斯塔,沙顶,CN,2022-07-21 08:42:18,5m 9s,QwNMPj8cXxqJvBC1,https://classic.warcraftlogs.com/reports/QwNMPj8cXxqJvBC1?fight=40&source=4&type=healing,2587.19,301,814,666,5,1,1,0,1,2,9685.9,Yes,2,Yes,Yes,Redeemer's Alchemist Stone,Memento of Tyrande,43.51,175.33,6.78,0,0.0,2174.93,84.07,[0LB 0I 5RG],35.14,[0LB 1I 4RG],13.51,29.73,No
5,毛毛姐,德姆塞卡尔,CN,2022-07-09 08:47:07,5m 56s,nJtAFZKRC4wGX2DT,https://classic.warcraftlogs.com/reports/nJtAFZKRC4wGX2DT?fight=41&source=17&type=healing,2551.67,305,691,709,5,1,1,0,1,2,9222.38,Yes,1,No,Yes,Memento of Tyrande,Scarab of the Infinite Cycle,77.52,334.94,13.13,0,0.0,2016.56,79.03,[0LB 1I 4RG],21.28,[0LB 0I 5RG],8.51,55.32,No
7,台式排骨大王,卓越,CN,2022-06-27 10:59:02,8m 18s,bYf2KxVCN1R3dT8m,https://classic.warcraftlogs.com/reports/bYf2KxVCN1R3dT8m?fight=57&source=6&type=healing,2505.97,329,766,678,6,1,1,0,1,3,9532.73,Yes,2,Yes,Yes,Darkmoon Card: Blue Dragon,Redeemer's Alchemist Stone,60.45,299.79,11.96,177.64,7.09,1815.8,72.46,[0LB 1I 4RG],13.25,[0LB 2I 1RG],12.05,24.1,No
8,Kuzrakiihing,震地者,CN,2022-06-17 09:34:37,6m 0s,8KZtNFn1YrX6BwDq,https://classic.warcraftlogs.com/reports/8KZtNFn1YrX6BwDq?fight=46&source=4&type=healing,2480.79,156,910,653,6,1,1,0,1,3,8680.19,Yes,2,No,Yes,Redeemer's Alchemist Stone,Memento of Tyrande,5.84,11.02,0.44,51.13,2.06,2198.32,88.61,[0LB 0I 5RG],41.18,[0LB 1I 4RG],35.29,11.76,No
9,夢花火,寒冰之王,CN,2022-08-05 08:57:13,7m 51s,Z3rpC6bB9qfAw2nP,https://classic.warcraftlogs.com/reports/Z3rpC6bB9qfAw2nP?fight=39&source=15&type=healing,2471.01,351,829,673,6,1,1,2,0,2,10007.8,Yes,2,Yes,Yes,Darkmoon Card: Blue Dragon,Redeemer's Alchemist Stone,85.49,563.65,22.81,177.79,7.2,1570.2,63.54,[1LB 0I 3RG],10.81,[1LB 0I 4RG],9.46,86.49,Yes
10,伊悔,辛洛斯,CN,2022-07-16 09:13:49,8m 36s,BAjnmGFXbavhNRzf,https://classic.warcraftlogs.com/reports/BAjnmGFXbavhNRzf?fight=51&source=34&type=healing,2459.84,242,726,679,6,1,1,1,1,2,10352.24,Yes,2,No,Yes,Essence of the Martyr,Memento of Tyrande,47.25,191.07,7.77,81.56,3.32,2042.06,83.02,[0LB 0I 5RG],11.76,[1LB 0I 1RG],10.29,57.35,No
